人物ID,著者名,作品ID,作品名,仮名遣い種別,翻訳者名等,入力者名,校正者名,状態,状態の開始日,底本名,出版社名,入力に使用した版,校正に使用した版
000081,"宮沢 賢治",004884,"図書館幻想",旧字旧仮名,"","土屋隆","阿部哲也",公開,2012-09-21,"宮澤賢治全集第六卷","筑摩書房","1967（昭和42）年9月25日初版第1刷",""
000081,"宮沢 賢治",001936,"とっこべとら子",新字新仮名,"","土屋隆","noriko saito",公開,2005-07-29,"風の又三郎","角川文庫、角川書店","1990（平成2）年10月20日8版","1990（平成2）年10月20日8版"
000081,"宮沢 賢治",001947,"鳥箱先生とフウねずみ",新字旧仮名,"","林幸雄","久保格",公開,2002-11-11,"新修宮沢賢治全集　第八巻","筑摩書房","1984（昭和59）年1月30日初版第7刷発行",""
000081,"宮沢 賢治",004085,"鳥をとるやなぎ",新字新仮名,"","土屋隆","noriko saito",公開,2007-03-29,"新編　風の又三郎","新潮文庫、新潮社","1989（平成元）年6月10日2刷","2005（平成17）年2月5日第22刷"
000081,"宮沢 賢治",043752,"どんぐりと山猫",新字新仮名,"","土屋隆","noriko saito",公開,2005-02-25,"注文の多い料理店","新潮文庫、新潮社","1997（平成9）年5月10日17刷","2004（平成16）年5月20日第29刷"
000081,"宮沢 賢治",001925,"どんぐりと山猫",新字旧仮名,"","土屋隆","noriko saito",公開,2005-03-29,"宮沢賢治全集8","ちくま文庫、筑摩書房","2004（平成16）年4月25日第20刷","2004（平成16）年4月25日第20刷"
000081,"宮沢 賢治",053359,"〔ながれたり〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-02,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053406,"〔なべてはしけく　よそほひて〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-24,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053422,"〔鉛のいろの冬海の〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-24,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",001939,"なめとこ山の熊",新字新仮名,"","土屋隆","noriko saito",公開,2005-07-29,"風の又三郎","角川文庫、角川書店","1990（平成2）年10月20日8版","1990（平成2）年10月20日8版"
000081,"宮沢 賢治",046608,"楢ノ木大学士の野宿",新字新仮名,"","蒋龍","noriko saito",公開,2008-09-28,"注文の多い料理店","新潮文庫、新潮社","1995（平成7）年5月30日11刷","2004（平成16）年5月20日29刷"
000081,"宮沢 賢治",004438,"楢ノ木大学士の野宿",新字旧仮名,"","林幸雄","今井忠夫",公開,2003-05-03,"新修宮沢賢治全集　第十巻","筑摩書房","1983（昭和58）年4月20日初版第5刷","1985（昭和60）年1月25日初版第7刷"
000081,"宮沢 賢治",002658,"虹の絵の具皿 （十力の金剛石）",新字新仮名,"","土屋隆","石橋めぐみ",公開,2007-08-21,"銀河鉄道の夜","角川文庫、角川書店","1991（平成3）年6月10日改版65版","1992（平成4）年6月30日改版68版"
000081,"宮沢 賢治",046604,"二十六夜",新字新仮名,"","蒋龍","noriko saito",公開,2009-05-11,"新編風の又三郎","新潮文庫、新潮社","1989（平成元）年6月10日2刷","2005（平成17）年2月5日第22刷"
000081,"宮沢 賢治",004427,"二十六夜",新字旧仮名,"","林幸雄","土屋隆",公開,2008-03-22,"新修宮沢賢治全集　第九巻","筑摩書房","1983（昭和58）年12月20日初版第6刷","1989（平成元）年11月20日初版第11刷"
000081,"宮沢 賢治",048202,"沼森",新字旧仮名,"","砂場清隆","noriko saito",公開,2008-09-08,"【新】校本宮澤賢治全集　第十二巻　童話Ⅴ・劇・その他　本文篇","筑摩書房","1995（平成7）年11月25日初版第1刷","1995（平成7）年11月25日初版第1刷"
000081,"宮沢 賢治",048203,"猫",新字旧仮名,"","砂場清隆","noriko saito",公開,2008-09-08,"【新】校本宮澤賢治全集　第十二巻　童話Ⅴ・劇・その他　本文篇","筑摩書房","1995（平成7）年11月25日 初版第1刷","1995（平成7）年11月25日初版第1刷"
000081,"宮沢 賢治",000464,"猫の事務所",新字旧仮名,"","細川みづ穂","瀬戸さえ子",公開,1999-03-08,"宮沢賢治全集8","ちくま文庫、筑摩書房","1996（平成8）年5月15日第14刷","1998（平成10）年4月1日第16刷"
000081,"宮沢 賢治",053443,"農学校歌",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",000465,"農民芸術概論",新字旧仮名,"","古川順弘","丹羽倫子",公開,1998-12-11,"【新】校本宮澤賢治全集　第十三巻（上）覚書・手帳　本文篇","筑摩書房","1997（平成9）年7月30日初版第1刷",""
000081,"宮沢 賢治",002386,"農民芸術概論綱要",新字旧仮名,"","古川順弘","丹羽倫子",公開,1998-12-11,"【新】校本宮澤賢治全集　第十三巻（上）覚書・手帳　本文篇","筑摩書房","1997（平成9）年7月30日初版第1刷",""
000081,"宮沢 賢治",045631,"農民芸術の興隆",新字旧仮名,"","田中敬三","土屋隆",公開,2006-09-19,"【新】校本宮澤賢治全集　第十三巻（上）覚書・手帳　本文篇","筑摩書房","1997（平成9）年7月30日初版第1刷","1997（平成9）年7月30日初版第1刷"
000081,"宮沢 賢治",045659,"バキチの仕事",新字新仮名,"","ゆうき","noriko saito",公開,2009-09-03,"ポラーノの広場","角川文庫、角川書店","1996（平成8）年6月25日初版","1996（平成8）年7月10日再版"
000081,"宮沢 賢治",053351,"雹雲砲手",新字旧仮名,"","junk","土屋隆",公開,2011-07-02,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",004415,"化物丁場",新字旧仮名,"","林幸雄","今井忠夫",公開,2003-01-13,"新修宮沢賢治全集　第十四巻","筑摩書房","1983（昭和58）年1月20日初版第4刷","1984（昭和59）年7月30日初版第6刷"
000081,"宮沢 賢治",003060,"凾館港春夜光景",新字旧仮名,"","土屋隆","noriko saito",公開,2006-12-03,"日本随筆紀行第二巻　札幌｜小樽｜函館　北の街はリラの香り","作品社","1986（昭和61）年4月25日第1刷","1986（昭和61）年4月25日第1刷"
000081,"宮沢 賢治",004419,"畑のへり",新字旧仮名,"","林幸雄","土屋隆",公開,2008-03-25,"新修宮沢賢治全集　第十一巻","筑摩書房","1983（昭和58）年12月20日初版第5刷","1985（昭和60）年12月10日初版第7刷"
000081,"宮沢 賢治",053348,"八戸",新字旧仮名,"","junk","土屋隆",公開,2011-07-02,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053446,"〔廿日月かざす刃は音無しの〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",046267,"花巻農学校精神歌",新字旧仮名,"","田中敬三","土屋隆",公開,2006-09-19,"【新】校本宮澤賢治全集　第六巻　詩Ⅴ　本文篇","筑摩書房","1996（平成8）年5月30日初版第1刷","1996（平成8）年5月30日初版第1刷　"
000081,"宮沢 賢治",004466,"花椰菜",新字旧仮名,"","林幸雄","mayu",公開,2003-01-17,"新修宮沢賢治全集　第十四巻","筑摩書房","1983（昭和58）年1月20日初版第4刷",""
000081,"宮沢 賢治",004437,"林の底",新字旧仮名,"","林幸雄","今井忠夫",公開,2003-05-09,"新修宮沢賢治全集　第十巻","筑摩書房","1983（昭和58）年4月20日初版第5刷","1985（昭和60）年1月25日初版第7刷"
000081,"宮沢 賢治",053430,"隼人",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",004086,"茨海小学校",新字新仮名,"","土屋隆","noriko saito",公開,2006-12-03,"注文の多い料理店","新潮文庫、新潮社","1997（平成9）年5月10日17刷","2004（平成16）年5月20日29刷"
000081,"宮沢 賢治",000457,"春と修羅",新字新仮名,"","渡辺宏","",公開,1998-10-24,"復刻初版本","関根書店、日米教育関係学会","1995（平成7）年12月１日復刻",""
000081,"宮沢 賢治",001058,"『春と修羅』",新字旧仮名,"","柴田卓治","かとうかおり",公開,2000-10-04,"宮沢賢治全集1","ちくま文庫、筑摩書房","1998（平成10）年5月12日第17刷","1998（平成10）年5月12日第17刷"
000081,"宮沢 賢治",047028,"春と修羅　第三集",新字旧仮名,"","伊藤雄介","米田",公開,2012-02-24,"宮沢賢治集全集2","ちくま文庫、筑摩書房","2005（平成17）年7月15日第12刷","1993（平成5）年7月20日第6刷"
000081,"宮沢 賢治",047027,"春と修羅　第二集",新字旧仮名,"","伊藤雄介","小林繁雄",公開,2010-02-09,"宮沢賢治全集1","ちくま文庫、筑摩書房","2006（平成18）年2月5日第21刷","1996（平成8）年5月15日第15刷"
000081,"宮沢 賢治",043040,"『春と修羅』補遺",新字旧仮名,"","柴田卓治","かとうかおり",公開,2000-10-04,"宮沢賢治全集1","ちくま文庫、筑摩書房","1998（平成10）年5月12日第17刷","1998（平成10）年5月12日第17刷"
000081,"宮沢 賢治",000458,"ひかりの素足",新字旧仮名,"","あきら","伊藤時也",公開,2000-02-04,"宮沢賢治全集5","ちくま文庫、筑摩書房","","1992（平成4）年3月10日第6刷"
000081,"宮沢 賢治",053419,"秘境",新字旧仮名,"","junk","土屋隆",公開,2011-07-24,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053366,"〔卑屈の友らをいきどほろしく〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-09,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",002589,"ビジテリアン大祭",新字新仮名,"","土屋隆","高柳典子",公開,2007-02-16,"新編　銀河鉄道の夜","新潮文庫、新潮社","1994（平成6）年6月5日13刷","2004（平成16）年5月20日36刷"
000081,"宮沢 賢治",053432,"〔ひとひははかなくことばをくだし〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",001920,"ひのきとひなげし",新字新仮名,"","土屋隆","noriko saito",公開,2005-02-28,"新編　銀河鉄道の夜","新潮文庫、新潮社","1994（平成6）年6月5日13刷","2004（平成16）年5月20日第36刷"
000081,"宮沢 賢治",053445,"火の島",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",001934,"氷河鼠の毛皮",新字旧仮名,"","マイマイマイ","小林繁雄",公開,2005-02-25,"新修宮沢賢治全集　第十三巻","筑摩書房","1980（昭和55）年3月15日初版第1刷","1984（昭和59）年6月30日初版第6刷"
000081,"宮沢 賢治",053389,"病中幻想",新字旧仮名,"","junk","土屋隆",公開,2011-07-16,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053439,"火渡り",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053425,"不軽菩薩",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053403,"〔二川こゝにて会したり〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-16,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",000459,"双子の星",新字新仮名,"","野口英司","",公開,1997-10-29,"新編　銀河鉄道の夜","新潮文庫、新潮社","1994（平成6）年6月5日第13刷",""
000081,"宮沢 賢治",050765,"二人の役人",新字新仮名,"","ゆうき","noriko saito",公開,2010-10-07,"イーハトーボ農学校の春","角川文庫、角川書店","1996（平成8）年3月25日初版","1996（平成8）年3月25日初版"
000081,"宮沢 賢治",001064,"二人の役人",新字旧仮名,"","田代信行","伊藤時也",公開,2000-09-13,"新修宮沢賢治全集　第九巻","筑摩書房","1983（昭和58）年2月20日初版第5刷",""
000081,"宮沢 賢治",001940,"葡萄水",新字旧仮名,"","田代信行","今井忠夫",公開,2003-05-03,"新修宮沢賢治全集　第十巻","筑摩書房","1983（昭和58）年4月20日初版第5刷","1985（昭和60）年1月25日初版第7刷"
000081,"宮沢 賢治",004601,"フランドン農学校の豚",新字新仮名,"","久保格","林幸雄",公開,2003-08-23,"新編　風の又三郎","新潮文庫、新潮社","2001（平成13）年4月25日14刷",""
000081,"宮沢 賢治",004462,"文語詩稿　一百篇",新字旧仮名,"","junk","今井忠夫",公開,2003-10-02,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷",""
000081,"宮沢 賢治",004461,"文語詩稿　五十篇",新字旧仮名,"","junk","林幸雄",公開,2002-05-29,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷",""
000081,"宮沢 賢治",033195,"ペンネンネンネンネン・ネネムの伝記",新字新仮名,"","土屋隆","鈴木厚司",公開,2010-03-06,"ポラーノの広場","新潮文庫、新潮社","1997（平成9）年5月25日3刷","1995（平成7）年2月1日"
000081,"宮沢 賢治",045309,"ペンネンノルデはいまはいないよ　太陽にできた黒い棘をとりに行ったよ",新字新仮名,"","土屋隆","田中敬三",公開,2006-04-26,"セロ弾きのゴーシュ","角川文庫、角川書店","1993（平成5）年5月20日改版50版","1993（平成5）年5月20日改版50版"
000081,"宮沢 賢治",001944,"北守将軍と三人兄弟の医者",新字旧仮名,"","林幸雄","今井忠夫",公開,2003-10-02,"新修宮沢賢治全集　第十三巻","筑摩書房","1983（昭和58）年6月30日初版第5刷",""
000081,"宮沢 賢治",046268,"星めぐりの歌",新字旧仮名,"","田中敬三","土屋隆",公開,2006-09-19,"【新】校本宮澤賢治全集　第六巻　詩Ⅴ　本文篇","筑摩書房","1996（平成8）年5月30日初版第1刷","1996（平成8）年5月30日初版第1刷　"
000081,"宮沢 賢治",001935,"ポラーノの広場",新字新仮名,"","白川由紀子","須藤",公開,2002-01-04,"銀河鉄道の夜・風の又三郎・ポラーノの広場　ほか３編","講談社文庫、講談社","1979（昭和54）年8月15日第16刷","1979（昭和54）年8月15日第16刷"
000081,"宮沢 賢治",004418,"洞熊学校を卒業した三人",新字旧仮名,"","林幸雄","土屋隆",公開,2008-03-25,"新修宮沢賢治全集　第十一巻","筑摩書房","1983（昭和58）年12月20日初版第5刷","1985（昭和60）年12月10日初版第7刷"
000081,"宮沢 賢治",000467,"ポランの広場",新字旧仮名,"","岡本正貴","石川友子",公開,2000-01-08,"【新】校本宮澤賢治全集","筑摩書房","",""
000081,"宮沢 賢治",000463,"マグノリアの木",新字新仮名,"","浜野智","浜野智",公開,1999-01-31,"風の又三郎","角川文庫、角川書店","1996（平成8）年6月25日改訂新版","2007（平成19）年5月25日改訂11版"
000081,"宮沢 賢治",053384,"〔ま青きそらの風をふるはし〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-09,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",001938,"祭の晩",新字新仮名,"","土屋隆","noriko saito",公開,2005-07-29,"風の又三郎","角川文庫、角川書店","1990（平成2）年10月20日8版","1990（平成2）年10月20日8版"
000081,"宮沢 賢治",004422,"まなづるとダァリヤ",新字新仮名,"","林幸雄","土屋隆",公開,2008-03-25,"新修宮沢賢治全集　第十一巻","筑摩書房","1983（昭和58）年12月20日初版第5刷","1985（昭和60）年12月10日初版第7刷"
000081,"宮沢 賢治",053369,"〔まひるつとめにまぎらひて〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-09,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",001922,"マリヴロンと少女",新字新仮名,"","土屋隆","noriko saito",公開,2005-02-28,"新編　銀河鉄道の夜","新潮文庫、新潮社","1994（平成6）年6月5日13刷","2004（平成16）年5月20日第36刷"
000081,"宮沢 賢治",045473,"みじかい木ぺん",新字新仮名,"","ゆうき","noriko saito",公開,2009-09-21,"イーハトーボ農学校の春","角川文庫、角川書店","1996（平成8）年3月25日初版","1996（平成8）年3月25日初版"
000081,"宮沢 賢治",001077,"めくらぶどうと虹",新字新仮名,"","薦田佳子","平野彩子",公開,2000-08-25,"銀河鉄道の夜","角川文庫、角川書店","1993（平成5）年6月20日改版71版","1994（平成6）年4月10日改版74版"
000081,"宮沢 賢治",053441,"〔モザイク成り〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053385,"〔最も親しき友らにさへこれを秘して〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-16,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053402,"〔館は台地のはななれば〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-16,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",004465,"柳沢",新字旧仮名,"","林幸雄","mayu",公開,2003-01-17,"新修宮沢賢治全集　第十四巻","筑摩書房","1983（昭和58）年1月20日初版第4刷",""
000081,"宮沢 賢治",053434,"敗れし少年の歌へる",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",043758,"山男の四月",新字新仮名,"","土屋隆","noriko saito",公開,2005-03-20,"注文の多い料理店","新潮文庫、新潮社","1997（平成9）年5月10日17刷","2004（平成16）年5月20日第29刷"
000081,"宮沢 賢治",001931,"山男の四月",新字旧仮名,"","あきら","伊藤時也",公開,2003-05-15,"宮沢賢治全集8","ちくま文庫、筑摩書房","1986（昭和61）年1月28日第1刷","1998（平成10）年4月1日第16刷"
000081,"宮沢 賢治",046605,"やまなし",新字新仮名,"","蒋龍","noriko saito",公開,2008-05-24,"新編風の又三郎","新潮文庫、新潮社","1989（平成元）年6月10日2刷","2005（平成17）年2月5日第22刷"
000081,"宮沢 賢治",000472,"やまなし",新字旧仮名,"","石井健児","高橋美奈子",公開,1998-10-26,"宮沢賢治全集8","ちくま文庫、筑摩書房","","1998（平成10）年4月1日第16刷"
000081,"宮沢 賢治",053349,"遊園地工作",新字旧仮名,"","junk","土屋隆",公開,2011-07-02,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053442,"〔夕陽は青めりかの山裾に〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053371,"〔ゆがみつゝ月は出で〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-09,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053421,"〔雪とひのきの坂上に〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-24,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",045679,"雪渡り",新字新仮名,"","土屋隆","田中敬三",公開,2006-04-26,"注文の多い料理店","新潮文庫、新潮社","1997（平成9）年5月10日17刷","2004（平成16）年5月20日29刷"
000081,"宮沢 賢治",002543,"雪渡り",新字旧仮名,"","土屋隆","鈴木厚司",公開,2009-02-08,"宮沢賢治全集8","ちくま文庫、筑摩書房","2004（平成16）年4月25日第20刷","1986（昭和61）年1月28日第1刷"
000081,"宮沢 賢治",053364,"〔弓のごとく〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-02,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053404,"百合を掘る",新字旧仮名,"","junk","土屋隆",公開,2011-07-16,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053354,"楊林",新字旧仮名,"","junk","土屋隆",公開,2011-07-02,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",004441,"よく利く薬とえらい薬",新字旧仮名,"","林幸雄","久保格",公開,2002-11-20,"新修宮沢賢治全集　第八巻","筑摩書房","1984（昭和59）年1月30日初版第7刷",""
000081,"宮沢 賢治",000473,"よだかの星",新字新仮名,"","佐々木美香","野口英司",公開,1998-08-20,"新編　銀河鉄道の夜","新潮文庫、新潮社","1991（平成3）年3月10日第4刷","1994（平成6）年6月5日第13刷"
000081,"宮沢 賢治",001116,"四又の百合",新字新仮名,"","薦田佳子","平野彩子",公開,2000-08-25,"銀河鉄道の夜","角川文庫、角川書店","1993（平成5）年6月20日改版71版","1994（平成6）年4月10日改版74版"
000081,"宮沢 賢治",004864,"ラジュウムの雁",旧字旧仮名,"","tucca","高柳典子",公開,2004-03-20,"宮澤賢治全集第六卷","筑摩書房","1956（昭和31）年12月20日","1959（昭和34）年3月10日"
000081,"宮沢 賢治",004865,"龍と詩人",旧字旧仮名,"","tucca","高柳典子",公開,2004-03-20,"宮澤賢治全集第六卷","筑摩書房","1956（昭和31）年12月20日","1959（昭和34）年3月10日"
000081,"宮沢 賢治",053375,"〔りんごのみきのはひのひかり〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-09,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053377,"〔昤々としてひかれるは〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-09,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",043801,"若い木霊",新字新仮名,"","土屋隆","うてな",公開,2005-04-16,"ポラーノの広場","新潮文庫、新潮社","1997（平成9）年5月25日3刷","　"
000081,"宮沢 賢治",053367,"〔われかのひとをこととふに〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-09,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053357,"〔われ聴衆に会釈して〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-02,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053427,"〔われはダルケを名乗れるものと〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-30,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053355,"〔われらが書に順ひて〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-02,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000081,"宮沢 賢治",053393,"〔われらひとしく丘に立ち〕",新字旧仮名,"","junk","土屋隆",公開,2011-07-16,"新修宮沢賢治全集　第六巻","筑摩書房","1980（昭和55）年2月15日初版第1刷","1985（昭和60）年2月25日初版第4刷"
000929,"宮島 資夫",046984,"清造と沼",新字新仮名,"","林幸雄","川山隆",公開,2008-05-18,"赤い鳥代表作集　2","小峰書店","1982（昭和57）年2月15日第21刷","1980（昭和55）年3月5日第20刷"
000929,"宮島 資夫",055652,"四谷、赤坂",新字新仮名,"","門田裕志","仙酔ゑびす",公開,2013-09-30,"大東京繁昌記","毎日新聞社","1999（平成11）年5月15日","1999（平成11）年5月15日"
000063,"宮武 外骨",000385,"一円本流行の害毒と其裏面談",新字新仮名,"","河上進","八巻美恵",公開,1999-07-10,"一円本流行の害毒と其裏面談","有限社","1928（昭和3）年11月1日","1928（昭和3）年11月1日"
001446,"宮地 嘉六",050533,"ある職工の手記",新字旧仮名,"","林幸雄","伊藤時也",公開,2010-10-13,"現代日本文學大系　49　葛西善藏　嘉村礒多　相馬泰三　川崎長太郎　宮路嘉六　木山捷平　集","筑摩書房","1985（昭和60）年11月10日第12刷","1973（昭和48）年2月5日初版第１刷"
001446,"宮地 嘉六",050534,"煤煙の匂ひ",新字旧仮名,"","林幸雄","伊藤時也",公開,2010-10-13,"現代日本文學大系　49　葛西善藏　嘉村礒多　相馬泰三　川崎長太郎　宮路嘉六　木山捷平　集","筑摩書房","1985（昭和60）年11月10日第12刷","1973（昭和48）年2月5日初版第1刷"
001446,"宮地 嘉六",051948,"老残",新字旧仮名,"","青空文庫","荒木恵一",公開,2015-01-02,"現代日本文學大系　49　葛西善藏　嘉村礒多　相馬泰三　川崎長太郎　宮地嘉六　木山捷平集","筑摩書房","1973（昭和48）年2月5日初版第1刷","1973（昭和48）年2月5日初版第1刷"
000809,"宮原 晃一郎",043605,"愛人と厭人",新字旧仮名,"","鈴木厚司","土屋隆",公開,2008-04-15,"惜しみなく愛は奪う","角川文庫、角川書店","1979（昭和54）年4月30日改版14版","1979（昭和54）年4月30日改版14版　"
000809,"宮原 晃一郎",045159,"悪魔の尾",新字旧仮名,"","tatsuki","鈴木厚司",公開,2005-09-17,"日本児童文学大系　第一一巻","ほるぷ出版","1978（昭和53）年11月30日初刷","1978（昭和53）年11月30日初刷"
000809,"宮原 晃一郎",043012,"イプセンの日本語訳",旧字旧仮名,"","鈴木厚司","土屋隆",公開,2008-04-15,"北歐の散策","生活社","1943（昭和18）年3月20日","1943（昭和18）年3月20日　"
000809,"宮原 晃一郎",045164,"動く海底",新字旧仮名,"","tatsuki","鈴木厚司",公開,2006-04-12,"日本児童文学大系　第一一巻","ほるぷ出版","1978（昭和53）年11月30日初刷","1978（昭和53）年11月30日初刷"
000809,"宮原 晃一郎",045165,"怪艦ウルフ号",新字旧仮名,"","tatsuki","鈴木厚司",公開,2006-04-12,"日本児童文学大系　第一一巻","ほるぷ出版","1978（昭和53）年11月30日初刷","1978（昭和53）年11月30日初刷"
000809,"宮原 晃一郎",043011,"科学的の神秘",旧字旧仮名,"","鈴木厚司","土屋隆",公開,2008-04-15,"北歐の散策","生活社","1943（昭和18）年3月20日","1943（昭和18）年3月20日　"
